capture_id,cycle_id,game_date,game_time_et,matchup,team_raw,coverage_status,retrieval_ts_utc
cap_20260807T030544682749,cycle_20260807,08/07/2026,07:30 (ET),ATL@WAS,Atlanta Dream,NOT_YET_SUBMITTED,2026-08-07T03:05:56.670346+00:00
cap_20260807T030544682749,cycle_20260807,08/07/2026,07:30 (ET),ATL@WAS,Washington Mystics,NOT_YET_SUBMITTED,2026-08-07T03:05:56.670346+00:00
cap_20260807T030544682749,cycle_20260807,08/07/2026,07:30 (ET),PHX@CON,Phoenix Mercury,NOT_YET_SUBMITTED,2026-08-07T03:05:56.670346+00:00
cap_20260807T030544682749,cycle_20260807,08/07/2026,07:30 (ET),PHX@CON,Connecticut Sun,NOT_YET_SUBMITTED,2026-08-07T03:05:56.670346+00:00
cap_20260807T030544682749,cycle_20260807,08/07/2026,09:30 (ET),GSV@DAL,Golden State Valkyries,NOT_YET_SUBMITTED,2026-08-07T03:05:56.670346+00:00
cap_20260807T030544682749,cycle_20260807,08/07/2026,09:30 (ET),GSV@DAL,Dallas Wings,NOT_YET_SUBMITTED,2026-08-07T03:05:56.670346+00:00
cap_20260807T030557729122,cycle_20260807,08/07/2026,07:30 (ET),ATL@WAS,Washington Mystics,NOT_YET_SUBMITTED,2026-08-07T03:06:07.757204+00:00
cap_20260807T030557729122,cycle_20260807,08/07/2026,07:30 (ET),PHX@CON,Phoenix Mercury,NOT_YET_SUBMITTED,2026-08-07T03:06:07.757204+00:00
cap_20260807T030557729122,cycle_20260807,08/07/2026,07:30 (ET),PHX@CON,Connecticut Sun,NOT_YET_SUBMITTED,2026-08-07T03:06:07.757204+00:00
cap_20260807T030557729122,cycle_20260807,08/07/2026,09:30 (ET),GSV@DAL,Golden State Valkyries,NOT_YET_SUBMITTED,2026-08-07T03:06:07.757204+00:00
cap_20260807T030557729122,cycle_20260807,08/07/2026,09:30 (ET),GSV@DAL,Dallas Wings,NOT_YET_SUBMITTED,2026-08-07T03:06:07.757204+00:00
cap_20260807T030607870492,cycle_20260807,08/07/2026,07:30 (ET),PHX@CON,Phoenix Mercury,NOT_YET_SUBMITTED,2026-08-07T03:06:17.914670+00:00
cap_20260807T030607870492,cycle_20260807,08/07/2026,09:30 (ET),GSV@DAL,Golden State Valkyries,NOT_YET_SUBMITTED,2026-08-07T03:06:17.914670+00:00
cap_20260807T030607870492,cycle_20260807,08/07/2026,09:30 (ET),GSV@DAL,Dallas Wings,NOT_YET_SUBMITTED,2026-08-07T03:06:17.914670+00:00
cap_20260807T030618029620,cycle_20260807,08/07/2026,09:30 (ET),GSV@DAL,Golden State Valkyries,NOT_YET_SUBMITTED,2026-08-07T03:06:28.057225+00:00
cap_20260807T030618029620,cycle_20260807,08/07/2026,09:30 (ET),GSV@DAL,Dallas Wings,NOT_YET_SUBMITTED,2026-08-07T03:06:28.057225+00:00
cap_20260807T030628174925,cycle_20260807,08/07/2026,09:30 (ET),GSV@DAL,Golden State Valkyries,NOT_YET_SUBMITTED,2026-08-07T03:06:38.217497+00:00
cap_20260807T030628174925,cycle_20260807,08/07/2026,09:30 (ET),GSV@DAL,Dallas Wings,NOT_YET_SUBMITTED,2026-08-07T03:06:38.217497+00:00
cap_20260807T030638324988,cycle_20260807,08/07/2026,09:30 (ET),GSV@DAL,Golden State Valkyries,NOT_YET_SUBMITTED,2026-08-07T03:06:48.362373+00:00
cap_20260807T030638324988,cycle_20260807,08/07/2026,09:30 (ET),GSV@DAL,Dallas Wings,NOT_YET_SUBMITTED,2026-08-07T03:06:48.362373+00:00
cap_20260807T030648477660,cycle_20260807,08/07/2026,09:30 (ET),GSV@DAL,Golden State Valkyries,NOT_YET_SUBMITTED,2026-08-07T03:06:58.522220+00:00
