log,record_idx,game_id,label,slate_date,side,team,shipped_n_roster,shipped_n_out,shipped_sum_ewma,shipped_vacated,shipped_out_names,reproduced,mine_n_roster,mine_n_out,mine_sum_ewma,mine_vacated,ok_n_roster,ok_n_out,ok_out_names,ok_sum_ewma,ok_vacated,mine_out_names,mine_roster,unmatched_injury,why
LIVE_main_worktree,13,1022600223,T-90m,2026-08-03,home,NYL,14,3,221.66096513659872,60.48711190010607,Anneli Maley|Leonie Fiebich|Satou Sabally,True,14,3,221.66096513659872,60.48711190010607,True,True,True,True,True,Anneli Maley|Leonie Fiebich|Satou Sabally,Anneli Maley|Betnijah Laney-Hamilton|Breanna Stewart|Han Xu|Jonquel Jones|Leonie Fiebich|Marine Fauthoux|Marine Johannes|Pauline Astier|Raquel Carrera|Rebecca Allen|Rebekah Gardner|Sabrina Ionescu|Satou Sabally,,
LIVE_main_worktree,13,1022600223,T-90m,2026-08-03,away,SEA,13,2,206.8352091396814,16.760385484892844,Ezi Magbegor|Taina Mair,True,13,2,206.8352091396814,16.760385484892844,True,True,True,True,True,Ezi Magbegor|Taina Mair,Awa Fam|Dominique Malonga|Ezi Magbegor|Flau'jae Johnson|Jade Melbourne|Jordan Horston|Katie Lou Samuelson|Mackenzie Holmes|Natisha Hiedeman|Stefanie Dolson|Taina Mair|Taylor Thierry|Zia Cooke,,
LIVE_main_worktree,14,1022600222,T-90m,2026-08-03,home,ATL,13,1,214.48717318282365,7.355272502977563,Te-Hina Paopao,True,13,1,214.48717318282365,7.355272502977563,True,True,True,True,True,Te-Hina Paopao,Aaliyah Nye|Allisha Gray|Angel Reese|Brionna Jones|Isobel Borlase|Jaylyn Sherrod|Jordin Canada|Madina Okot|Naz Hillmon|Rhyne Howard|Shatori Walker-Kimbrough|Sika Kone|Te-Hina Paopao,Indya Nivar,
LIVE_main_worktree,14,1022600222,T-90m,2026-08-03,away,LVA,13,1,223.57880522108647,9.981413177151188,Cheyenne Parker-Tyus,True,13,1,223.57880522108647,9.981413177151188,True,True,True,True,True,Cheyenne Parker-Tyus,A'ja Wilson|Brianna Turner|Chelsea Gray|Cheyenne Parker-Tyus|Dana Evans|Jackie Young|Jewell Loyd|Justine Pissott|Kierstan Bell|Mai Yamamoto|NaLyssa Smith|Stephanie Talbot|Ta'Niya Latson,Janiah Barker,
LIVE_main_worktree,15,1022600224,T-90m,2026-08-03,home,CHI,13,3,191.70941043230786,71.44091134243718,Azura Stevens|Chloe Bibby|Skylar Diggins,True,13,3,191.70941043230786,71.44091134243718,True,True,True,True,True,Azura Stevens|Chloe Bibby|Skylar Diggins,Aicha Coulibaly|Azura Stevens|Chloe Bibby|Courtney Vandersloot|DiJonai Carrington|Elizabeth Williams|Gabriela Jaquez|Jacy Sheldon|Kamilla Cardoso|Natasha Cloud|Rachel Banham|Skylar Diggins|Sydney Taylor,Maddy Westbeld|Rickea Jackson,
LIVE_main_worktree,15,1022600224,T-90m,2026-08-03,away,PHX,11,0,224.28480701875827,0.0,,True,11,0,224.28480701875827,0.0,True,True,True,True,True,,Alyssa Thomas|DeWanna Bonner|Kahleah Copper|Kyara Linskens|Lexi Held|Marta Suarez|Monique Akoa Makani|Natasha Mack|Noemie Brochant|Sami Whitcomb|Valeriane Ayayi,Jovana Nogic|Kara Dunn|Kelsey Plum|Shay Ciezki,
LIVE_main_worktree,16,1022600223,T-90m,2026-08-03,home,NYL,14,3,221.66096513659872,60.48711190010607,Anneli Maley|Leonie Fiebich|Satou Sabally,True,14,3,221.66096513659872,60.48711190010607,True,True,True,True,True,Anneli Maley|Leonie Fiebich|Satou Sabally,Anneli Maley|Betnijah Laney-Hamilton|Breanna Stewart|Han Xu|Jonquel Jones|Leonie Fiebich|Marine Fauthoux|Marine Johannes|Pauline Astier|Raquel Carrera|Rebecca Allen|Rebekah Gardner|Sabrina Ionescu|Satou Sabally,,
LIVE_main_worktree,16,1022600223,T-90m,2026-08-03,away,SEA,13,2,206.8352091396814,16.760385484892844,Ezi Magbegor|Taina Mair,True,13,2,206.8352091396814,16.760385484892844,True,True,True,True,True,Ezi Magbegor|Taina Mair,Awa Fam|Dominique Malonga|Ezi Magbegor|Flau'jae Johnson|Jade Melbourne|Jordan Horston|Katie Lou Samuelson|Mackenzie Holmes|Natisha Hiedeman|Stefanie Dolson|Taina Mair|Taylor Thierry|Zia Cooke,,
LIVE_main_worktree,17,1022600222,T-90m,2026-08-03,home,ATL,13,1,214.48717318282365,7.355272502977563,Te-Hina Paopao,True,13,1,214.48717318282365,7.355272502977563,True,True,True,True,True,Te-Hina Paopao,Aaliyah Nye|Allisha Gray|Angel Reese|Brionna Jones|Isobel Borlase|Jaylyn Sherrod|Jordin Canada|Madina Okot|Naz Hillmon|Rhyne Howard|Shatori Walker-Kimbrough|Sika Kone|Te-Hina Paopao,Indya Nivar,
LIVE_main_worktree,17,1022600222,T-90m,2026-08-03,away,LVA,13,1,223.57880522108647,9.981413177151188,Cheyenne Parker-Tyus,True,13,1,223.57880522108647,9.981413177151188,True,True,True,True,True,Cheyenne Parker-Tyus,A'ja Wilson|Brianna Turner|Chelsea Gray|Cheyenne Parker-Tyus|Dana Evans|Jackie Young|Jewell Loyd|Justine Pissott|Kierstan Bell|Mai Yamamoto|NaLyssa Smith|Stephanie Talbot|Ta'Niya Latson,Janiah Barker,
